CSV containing all Yahoo Finance Tickers (100,000+)
7170.KL,KLS
5146.KL,KLS
4405@OM.KL,
DALMIABHA.BO,BSE
5614@OM.KL,
BIL1.F,FRA
5068.KL,KLS
3301@BN.KL,KLS
2828@BN.KL,KLS
0020@BN.KL,KLS
5031@OM.KL,
8044.KL,KLS
9601@OM.KL,
0174.KL,KLS
7247@BN.KL,KLS
BHARATFORG.NS,NSI
5028.KL,KLS
2836@OM.KL,
5029@OM.KL,
0028.KL,KLS
7133@BN.KL,KLS
7180.KL,KLS
7198@OM.KL,
5065@BN.KL,KLS
7060@BN.KL,KLS
5886@OM.KL,
PWF-PT.TO,TOR
7854.KL,KLS
9334@BN.KL,KLS
7119@OM.KL,
3174@BN.KL,KLS
RNE1.BE,BER
BHT.V,VAN
7205@OM.KL,
5000@BN.KL,KLS
8885@OM.KL,
7174.KL,KLS
BHARATRAS.BO,BSE
7323@BN.KL,KLS
7109@OM.KL,
6971.KL,KLS
KRXBF,PNK
7128.KL,KLS
IRR.V,VAN
6076@OM.KL,
9407.KL,KLS
4375.KL,KLS
0147@OM.KL,
4944.KL,KLS
2429@BN.KL,KLS
7179@BN.KL,KLS
7085@BN.KL,KLS
HBPE,PNK
2224@OM.KL,
6211@BN.KL,KLS
7232@OM.KL,
7208@BN.KL,KLS
0012@BN.KL,KLS
BH-R.BK,SET
7528.KL,KLS
5102@OM.KL,
0016@OM.KL,
0094@BN.KL,KLS
5673@BN.KL,KLS
7117@OM.KL,
7193.KL,KLS
7277@BN.KL,KLS
2208@BN.KL,KLS
7811@OM.KL,
5517@OM.KL,
2925@OM.KL,
7227@BN.KL,KLS
1643@OM.KL,
8494@OM.KL,
7234@OM.KL,
5355.KL,KLS
2593.KL,KLS
8869@BN.KL,KLS
8761@BN.KL,KLS
6483@BN.KL,KLS
PHC.V,VAN
7213@BN.KL,KLS
8656@BN.KL,
1961@BN.KL,
2208.KL,KLS
5100.KL,KLS
7006.KL,KLS
7199@BN.KL,KLS
3573@BN.KL,KLS
5010.KL,KLS
6262@OM.KL,
0120.KL,KLS
1201@BN.KL,KLS
0100@OM.KL,
2135@BN.KL,KLS
0021.KL,KLS
8907@BN.KL,KLS
5035@OM.KL,
7017@BN.KL,KLS
0020.KL,KLS
8834@BN.KL,KLS
TIR.V,
2968.KL,KLS
7773@BN.KL,KLS
7013@OM.KL,
8107.HK,HKG
7133.KL,KLS
9687.KL,KLS
9121@BN.KL,KLS
7045@OM.KL,
5657@BN.KL,KLS
0022.KL,KLS
6173.KL,KLS
5242@BN.KL,KLS
3247.KL,KLS
9997@BN.KL,KLS
7170@OM.KL,
1066@BN.KL,KLS
7366@OM.KL,
5200@OM.KL,
RRS.V,VAN
0051.KL,KLS
7210@OM.KL,
9792.KL,KLS
9792@BN.KL,KLS
3107@OM.KL,
7198@BN.KL,KLS
5028@BN.KL,KLS
5032.KL,KLS
5020@BN.KL,KLS
0110.KL,KLS
3042@OM.KL,
7103.KL,KLS
7002@OM.KL,
8192@BN.KL,KLS
BHANDERI.BO,BSE
7164@BN.KL,KLS
3514@BN.KL,KLS
7123@BN.KL,KLS
5040@OM.KL,
B9B.F,FRA
4286@BN.KL,KLS
BHAGWOX.BO,BSE
1643@BN.KL,KLS
7323@OM.KL,
0059@BN.KL,KLS
5192@OM.KL,
4316@BN.KL,KLS
BH28C1603A.BK,
0138@OM.KL,
BHAGIL.BO,BSE
BHP.SI,SES
SPMXF,PNK
1082.KL,KLS
5592@OM.KL,
8141.KL,KLS
7221.KL,KLS
MCPNF,PNK
0110@OM.KL,
7033@BN.KL,KLS
7016@OM.KL,
2887@BN.KL,KLS
BH5.MU,MUN
7160@BN.KL,KLS
8907WC@OM.KL,
2089@BN.KL,KLS
5071@OM.KL,
5053.KL,KLS
0101.KL,KLS
0037@BN.KL,KLS
BHPQOU-A,
7617.KL,KLS
5135@OM.KL,
8338.KL,KLS
0060@OM.KL,
2771.KL,KLS
0092@BN.KL,KLS
4286@OM.KL,
8443.KL,KLS
8745@BN.KL,KLS
7617@OM.KL,
0011@OM.KL,
BIL-EQ.NS,NSI
3441@BN.KL,KLS
9881.KL,KLS
2445@BN.KL,KLS
VMI-H.V,VAN
6939@OM.KL,
7100@BN.KL,KLS
6033@BN.KL,KLS
0079.KL,KLS
7099@BN.KL,KLS
8672@OM.KL,
BHP.SW,EBS
7223@BN.KL,KLS
7943@OM.KL,
8362@OM.KL,
0108@OM.KL,
5138@OM.KL,
0064@BN.KL,KLS
NBVENTURES.BO,BSE
9717@BN.KL,KLS
BHARAT.BO,BSE
7183@BN.KL,KLS
7080.KL,KLS
0136@BN.KL,KLS
5125@OM.KL,
5026.KL,KLS
BHARATGEA.NS,
8966@BN.KL,KLS
BHM.SG,STU
6139.KL,KLS
5253@DB.KL,KLS
BIL.SG,STU
8346@OM.KL,
0168@OM.KL,
0026.KL,KLS
3476@BN.KL,KLS
2054@BN.KL,KLS
5132@BN.KL,KLS
BQN.SI,SES
0075.KL,KLS
0126.KL,KLS
5236@BN.KL,KLS
5080@BN.KL,KLS
7128@OM.KL,
6769@OM.KL,
7180@OM.KL,
KOMHL.IS,IST
7095.KL,KLS
1694.KL,KLS
6254.KL,KLS
0007@BN.KL,KLS
6254@BN.KL,KLS
5145.KL,KLS
5100@BN.KL,KLS
BLT.EX,
0094.KL,KLS
7025.KL,KLS
BHM.BE,BER
8141@OM.KL,
7285@BN.KL,KLS
7053.KL,KLS
5069.KL,KLS
4596@BN.KL,KLS
DALMIABHA.NS,NSI
7114@OM.KL,
LEN.V,VAN
7055@OM.KL,
9962.KL,KLS
8141PA@BN.KL,
8621.KL,KLS
5095@BN.KL,KLS
5047.KL,KLS
0128@BN.KL,KLS
7412.KL,KLS
7134@BN.KL,KLS
BH6.BE,BER
BLAIF,PNK
5072.KL,KLS
7111@BN.KL,KLS
4898.KL,KLS
PHC-H.V,VAN
7107@OM.KL,
BHAGGAS.BO,BSE
2887.KL,KLS
BHARATFORG6.BO,
6521@OM.KL,
9237@BN.KL,KLS
3034@BN.KL,KLS
0155@BN.KL,KLS
CSN-H.V,VAN
7943.KL,KLS
3905@OM.KL,
9938.KL,KLS
2143@BN.KL,KLS
7188@BN.KL,KLS
7089@BN.KL,KLS
1996@BN.KL,KLS
6572@OM.KL,
6211@OM.KL,
VMI.V,VAN
5509@OM.KL,
6548.KL,KLS
4243@OM.KL,
BHMDF,PNK
5711.KL,KLS
7201@OM.KL,
6912@OM.KL,
7094.KL,KLS
3BH.HM,HAM
8931@BN.KL,KLS
1783@OM.KL,
0011.KL,KLS
5070@OM.KL,
2852.KL,KLS
8176@OM.KL,
7366.KL,KLS
5016@BN.KL,KLS
5819@BN.KL,KLS
7155@BN.KL,KLS
BIL.BE,BER
7027.KL,KLS
7025@BN.KL,KLS
8192.KL,KLS
8478@OM.KL,
5073.KL,KLS
4707@BN.KL,KLS
7285@OM.KL,
7221@OM.KL,
0028@OM.KL,
GPE-H.V,
0175@OM.KL,
5113@BN.KL,KLS
0137@BN.KL,
BIL1.SG,STU
9288@BN.KL,KLS
SHBHAWPA.BO,BSE
6238.KL,KLS
3581@OM.KL,
2593@BN.KL,KLS
7119.KL,KLS
8362@BN.KL,KLS
7207@OM.KL,
7010.KL,KLS
8869.KL,KLS
8931@OM.KL,
5878@BN.KL,KLS
5080@OM.KL,
BHAGCOT.BO,BSE
BHU.DU,DUS
7143.KL,KLS
3883@BN.KL,KLS
9393@BN.KL,KLS
7060@OM.KL,
3115@BN.KL,KLS
6491@BN.KL,KLS
BHARTISHIP-BZ.NS,NSI
9539@OM.KL,KLS
4995.KL,KLS
REVB,PNK
5789@OM.KL,
5071@BN.KL,KLS
0141.KL,KLS
BHARATFOR.NS,
7033.KL,KLS
5079@BN.KL,KLS
7154@OM.KL,
PKSSF,PNK
2089@OM.KL,
5098@OM.KL,
7668@OM.KL,
0171@OM.KL,
7132@OM.KL,
7216@OM.KL,
BHO.SI,SES
7218@BN.KL,KLS
6491@OM.KL,
7692@OM.KL,
0136.KL,KLS
7233@BN.KL,KLS
7114OR.KL,
BHARATGEAR.NS,NSI
6459@BN.KL,KLS
1597@BN.KL,KLS
5371@BN.KL,KLS
7190.KL,KLS
9334@OM.KL,
3484.KL,KLS
5222@BN.KL,KLS
9407@BN.KL,KLS
5827.KL,KLS
0111@BN.KL,KLS
5606.KL,KLS
5102.KL,KLS
7207@BN.KL,KLS
9318@BN.KL,KLS
0038@OM.KL,
BIL1.BE,BER
3034.KL,KLS
BSTHY,PNK
8478@BN.KL,KLS
5533@OM.KL,
6815.KL,KLS
0089.KL,KLS
5143.KL,KLS
8133@OM.KL,
7017@OM.KL,KLS
1368@OM.KL,
4847@OM.KL,
0032@BN.KL,KLS
1171@OM.KL,
0148.KL,KLS
IVQ-P.V,VAN
7045@BN.KL,KLS
7006@BN.KL,KLS
0099.KL,KLS
5098.KL,KLS
1287.KL,KLS
6971@OM.KL,
7096@OM.KL,
0120@OM.KL,
0132.KL,KLS
8702@OM.KL,
3573.KL,KLS
5091.KL,KLS
7153@BN.KL,KLS
MYR.CN,CNQ
0100.KL,KLS
1929@BN.KL,KLS
6807@OM.KL,
2186.KL,KLS
3298.KL,KLS
7043@OM.KL,
PNAGF,PNK
RIY.F,FRA
6491.KL,KLS
5622.KL,KLS
7185@OM.KL,
7149.KL,KLS
3069@OM.KL,
5533@BN.KL,KLS
JAYBARMARU.NS,NSI
1945@BN.KL,
9199.KL,KLS
7055.KL,KLS
5614@BN.KL,KLS
5091@OM.KL,
5056@OM.KL,
7161@BN.KL,KLS
BHK.V,VAN
5347@BN.KL,KLS
0160@BN.KL,KLS
2968@OM.KL,
7188.KL,KLS
5158@BN.KL,KLS
8044@BN.KL,KLS
7439.KL,KLS
7217@OM.KL,
0160.KL,KLS
7935.KL,KLS
4936@BN.KL,KLS
TAMJAIM.BO,BSE
3662@BN.KL,KLS
7668@BN.KL,KLS
1724@BN.KL,KLS
7199@OM.KL,
0022@OM.KL,KLS
7087@BN.KL,KLS
5040.KL,KLS
5053@BN.KL,KLS
9369@OM.KL,
BHAGWNME.BO,BSE
5959@BN.KL,KLS
7211@BN.KL,KLS
7082@OM.KL,
MRS.V,VAN
0113.KL,KLS
0146@OM.KL,KLS
7160@OM.KL,
3018.KL,KLS
7174@OM.KL,
5101@OM.KL,
5886.KL,KLS
6807@BN.KL,
5509@BN.KL,
0094@OM.KL,
6297@BN.KL,KLS
5135.KL,KLS
0037.KL,KLS
5843@OM.KL,
BHA.F,FRA
5108@OM.KL,
5011.KL,KLS
5008.KL,KLS
3689@BN.KL,KLS
BHPN.MX,MEX
5005.KL,KLS
SNV.V,VAN
6637.KL,KLS
5576@OM.KL,
7052@BN.KL,KLS
TKK.V,VAN
BHEL6.BO,BSE
5657.KL,KLS
BH.BK,SET
6963@BN.KL,KLS
0070@BN.KL,KLS
7180@BN.KL,KLS
0111@OM.KL,
BHKLY,PNK
5087@BN.KL,KLS
2186@OM.KL,
8656@OM.KL,
7149@BN.KL,KLS
0065@BN.KL,KLS
BHARTISHIP.BO,BSE
8117@OM.KL,
HATHWAYB.BO,BSE
3565@BN.KL,KLS
7501.KL,KLS
4502@BN.KL,KLS
7209@BN.KL,KLS
2739.KL,KLS
PBHKF,PNK
0001@BN.KL,KLS
4588.KL,KLS
7153@OM.KL,
9237.KL,KLS
0035.KL,KLS
6963.KL,KLS
7228.KL,KLS
BHP1.BE,BER
3816.KL,KLS
WG.TO,TOR
5037.KL,KLS
6181@OM.KL,
7617@BN.KL,KLS
4219@BN.KL,KLS
6017@BN.KL,KLS
TIR-H.V,VAN
0175@BN.KL,
0147.KL,KLS
0136@OM.KL,
9008.KL,KLS
8583@BN.KL,KLS
9261@BN.KL,KLS
0005@OM.KL,
6297.KL,KLS
0106@OM.KL,
0038.KL,KLS
4006.KL,KLS
0092.KL,KLS
0138@BN.KL,KLS
7096.KL,KLS
5649@OM.KL,
7167@BN.KL,KLS
1783.KL,KLS
6998.KL,KLS
8834.KL,KLS
BHAGERIA.NS,NSI
5035.KL,KLS
5835.KL,KLS
0053@OM.KL,
7189.KL,KLS
0023.KL,KLS
5703@OM.KL,
3336@BN.KL,KLS
8664@BN.KL,KLS
8869@OM.KL,
5142@BN.KL,KLS
5041@BN.KL,KLS
3026@OM.KL,
BHV.A,ASE
5145@BN.KL,KLS
5254@BN.KL,
4316.KL,KLS
0065.KL,KLS
5011@OM.KL,
2216@BN.KL,KLS
BHUSANSTL4.BO,
SOVZF,PNK
7226@BN.KL,KLS
2755.KL,KLS
8486@BN.KL,KLS
5231@BN.KL,KLS
3379@BN.KL,KLS
6139@BN.KL,KLS
7036@BN.KL,KLS
1171@BN.KL,KLS
0085.KL,KLS
7190@OM.KL,
5029.KL,KLS
7095@OM.KL,
BH5.BE,BER
GMR.L,LSE
7765@OM.KL,
9601.KL,KLS
5072@BN.KL,KLS
7047@BN.KL,KLS
9717.KL,KLS
3611@BN.KL,KLS
7145.KL,KLS
0012@OM.KL,
7216@BN.KL,KLS
7053@OM.KL,
8885@BN.KL,KLS
8338@BN.KL,KLS
0049.KL,KLS
7811@BN.KL,KLS
7036.KL,KLS
5054@OM.KL,
5009.KL,KLS
7094@OM.KL,
6181@BN.KL,KLS
5533.KL,KLS
5056@BN.KL,KLS
7201.KL,KLS
0029@BN.KL,KLS
BHATEXT.BO,BSE
0023@OM.KL,
BHARATIDIL.NS,NSI
BHUSANSTL.BO,BSE
7241@BN.KL,KLS
5252@DB.KL,KLS
7285.KL,KLS
0127@BN.KL,KLS
0133.KL,KLS
BHV.V,VAN
7059@OM.KL,
5038@BN.KL,KLS
SHBHAGV.BO,BSE
0064@OM.KL,
9466@OM.KL,
BHRR.SI,
5060@BN.KL,KLS
BHARATFORG4.BO,
8117.KL,KLS
7231@BN.KL,KLS
7189@OM.KL,
3581.KL,KLS
7366@BN.KL,KLS
3948@BN.KL,KLS
0127.KL,KLS
3484@OM.KL,
3662@OM.KL,
0145.KL,KLS
7854@OM.KL,
4936.KL,KLS
0082.KL,KLS
5026@OM.KL,
2003@BN.KL,
5797.KL,KLS
8273@OM.KL,
BHEK.HA,
B9B.MU,MUN
5070@BN.KL,KLS
9091@BN.KL,KLS
5047@OM.KL,
7059.KL,KLS
0090@OM.KL,
BHAGYINBBPH.BO,BSE
4065.KL,KLS
7215@BN.KL,KLS
5125.KL,KLS
6009@BN.KL,KLS
7228@BN.KL,KLS
4065@BN.KL,KLS
3476@OM.KL,
7246@BN.KL,KLS
5096.KL,KLS
SUV.CN,CNQ
7141@OM.KL,
0050.KL,KLS
3395@BN.KL,KLS
9938@BN.KL,KLS
0025.KL,KLS
8273@BN.KL,KLS
BHARATRAS.NS,NSI
9148@OM.KL,
7412@OM.KL,
2828@OM.KL,
0133@BN.KL,KLS
5681@BN.KL,KLS
0035@BN.KL,KLS
4383.KL,KLS
3905@BN.KL,KLS
BHUTI.BO,BSE
7087@OM.KL,
BHGU.L,LSE
0059@OM.KL,
0129.KL,KLS
BHCXO.BA,BUE
7097@OM.KL,
5069@OM.KL,
7022@OM.KL,
BHUWALST.BO,BSE
7167.KL,KLS
7034@BN.KL,KLS
2739@BN.KL,KLS
5398@OM.KL,
0160@OM.KL,
9318.KL,KLS
BHU.SI,SES
BIG-D.TO,TOR
7140@OM.KL,
7117.KL,KLS
6483.KL,KLS
7183@OM.KL,
4197@BN.KL,KLS
TKFOY,PNK
5075.KL,KLS
0NI0.L,
7250@BN.KL,KLS
5042.KL,KLS
0113@OM.KL,
7192@OM.KL,
5006@OM.KL,
7676@OM.KL,
5077@BN.KL,KLS
BHARATWIRE.BO,BSE
RNE1.F,FRA
3069.KL,KLS
9393@OM.KL,
BHD.SI,SES
9407@OM.KL,
9865.KL,KLS
9121@OM.KL,
4847@BN.KL,KLS
6661.KL,KLS
7013@BN.KL,KLS
4006@OM.KL,
0099@BN.KL,KLS
BHRTD,PNK
7088@OM.KL,
3891.KL,KLS
5398@BN.KL,KLS
BIL.MU,MUN
BIPP.JK,JKT
6173@BN.KL,KLS
7208@OM.KL,
5008@BN.KL,KLS
5085@BN.KL,KLS
7017.KL,KLS
GPE.V,VAN
9865@OM.KL,
8095@OM.KL,
0141@BN.KL,KLS
8311@BN.KL,KLS
8893@BN.KL,KLS
5355@BN.KL,KLS
0103@OM.KL,
7145@OM.KL,
2003.KL,KLS
0060@BN.KL,KLS
7185.KL,
EFN-PA.TO,TOR
6378.KL,KLS
7231@OM.KL,
RHJIF,PNK
6211.KL,KLS
9059.KL,KLS
3565@OM.KL,
0038@BN.KL,KLS
BIBCL.BO,BSE
5001@OM.KL,
0028@BN.KL,KLS
2305.KL,KLS
5165@OM.KL,
4588@OM.KL,
BHL.SI,
5070.KL,KLS
1818@BN.KL,KLS
7076@OM.KL,
6017.KL,KLS
5031.KL,KLS
5032@OM.KL,
0006.KL,KLS
1996.KL,KLS
5200.KL,KLS
7027@OM.KL,
4898@BN.KL,KLS
5102@BN.KL,KLS
2097@OM.KL,
8982.KL,KLS
5932@OM.KL,
PKNHF,PNK
5018@BN.KL,
3891@BN.KL,KLS
8346@BN.KL,KLS
0099@OM.KL,
LIR.V,VAN
7217.KL,KLS
3816@BN.KL,KLS
4502@OM.KL,
2755@BN.KL,KLS
7757.KL,KLS
BPCL4.BO,
7223@OM.KL,
BEPL.NS,NSI
5010@BN.KL,KLS
5207.KL,KLS
5001@BN.KL,KLS
BPCL6.BO,
5066.KL,KLS
4863@BN.KL,KLS
0100@BN.KL,KLS
5199@BN.KL,KLS
5038.KL,KLS
5107@BN.KL,KLS
BHAGCHEM.BO,BSE
5084@BN.KL,KLS
4324@BN.KL,KLS
BHMCF,PNK
1155@BN.KL,KLS
3069@BN.KL,KLS
BHP1.F,FRA
8702.KL,KLS
1481.KL,KLS
5079@OM.KL,
1082@BN.KL,KLS
3182@BN.KL,KLS
3689@OM.KL,
2771@OM.KL,
2771@BN.KL,KLS
2143.KL,KLS
6815@BN.KL,KLS
2089.KL,KLS
1481@BN.KL,KLS
7091@OM.KL,
3883.KL,KLS
7172@OM.KL,
7018.KL,KLS
5031@BN.KL,KLS
0070.KL,KLS
BHARATWIRE.NS,NSI
6947@BN.KL,KLS
BHARATGEAR.BO,BSE
0010@OM.KL,
7171@BN.KL,
0084@BN.KL,KLS
BIL.NS,NSI
0171.KL,KLS
BHB.A,ASE
7097.KL,KLS
7047.KL,KLS
9296.KL,KLS
5165.KL,KLS
6637@BN.KL,KLS
1643.KL,KLS
5827@OM.KL,
5011@BN.KL,KLS
8966@OM.KL,
7202@OM.KL,
5143@OM.KL,
0053.KL,KLS
7140.KL,KLS
5138.KL,KLS
BILCONTI.BO,BSE
9113@BN.KL,KLS
BTTL.BO,BSE
0050@OM.KL,
3018@BN.KL,KLS
BILINDS.BO,BSE
RHJI.BR,
9776@BN.KL,KLS
NBVENTURES.NS,NSI
4707@OM.KL,
0065@OM.KL,
BHGG.L,LSE
1201.KL,KLS
7757@BN.KL,KLS
7234.KL,KLS
0035@OM.KL,
5094@OM.KL,
8591@BN.KL,KLS
6521.KL,KLS
BHSKO.BA,
GLOCF,PNK
5038@OM.KL,
BHAGYNAGAR.NS,NSI
0058@BN.KL,KLS
7231.KL,KLS
0054.KL,KLS
MTG.TO,TOR
8044@OM.KL,
BHTB.EX,
BMGU.SI,SES
0146.KL,KLS
1562@BN.KL,KLS
8273.KL,KLS
2542@BN.KL,KLS
0012.KL,KLS
7158@BN.KL,KLS
0008@OM.KL,
7145@BN.KL,KLS
BIL.HA,HAN
5218@BN.KL,
7080@BN.KL,KLS
7115.KL,KLS
0023@BN.KL,KLS
7773@OM.KL,KLS
3921@OM.KL,
7140@BN.KL,KLS
7126@BN.KL,KLS
6173@OM.KL,
7095@BN.KL,KLS
3611.KL,KLS
7171@OM.KL,
9997@OM.KL,
9016.KL,KLS
9598@OM.KL,
BHN.SG,STU
2429.KL,KLS
BHP1.MU,MUN
7692.KL,KLS
8079.KL,KLS
5094.KL,KLS
BHUSANSTL-EQ.NS,NSI
5878@OM.KL,
0101@OM.KL,
7109.KL,
7412@BN.KL,KLS
7195.KL,KLS
6971@BN.KL,KLS
0008@BN.KL,KLS
7071@BN.KL,KLS
7167@OM.KL,
9881@OM.KL,
1619@BN.KL,KLS
6637@OM.KL,
5022.KL,KLS
0005@BN.KL,KLS
7035@BN.KL,KLS
5010@OM.KL,
4944@BN.KL,KLS
5371.KL,KLS
9598@BN.KL,KLS
7692@BN.KL,KLS
2194@OM.KL,
5032@BN.KL,KLS
0054@BN.KL,KLS
BHUSANSTL.NS,NSI
HUL.SG,STU
9377.KL,KLS
BHARATFORG.BO,BSE
1562.KL,KLS
7035.KL,KLS
7198.KL,KLS
7241@OM.KL,
5068@BN.KL,KLS
0002.KL,KLS
9571@BN.KL,KLS
5576@BN.KL,KLS
4081@BN.KL,KLS
4464.KL,KLS
7803@OM.KL,
9121.KL,KLS
3484@BN.KL,KLS
5028@OM.KL,
7080@OM.KL,
3921@BN.KL,KLS
6025.KL,KLS
8982@OM.KL,
5143@BN.KL,KLS
R7I.F,FRA
7471@BN.KL,KLS
6084@OM.KL,
0011@BN.KL,KLS
5789.KL,KLS
9873@OM.KL,
4448.KL,KLS
5081@OM.KL,KLS
7195@BN.KL,KLS
MYTEF,PNK
5024@OM.KL,
5754@OM.KL,
0079@OM.KL,
BHUSANSTL6.BO,BSE
8443@BN.KL,KLS
4405@BN.KL,KLS
7169.KL,KLS
BH5.F,FRA
2852@BN.KL,KLS
7163.KL,KLS
5049@OM.KL,
1287@BN.KL,KLS
8656.KL,
8834@OM.KL,
5983.KL,KLS
5104.KL,KLS
8621@BN.KL,KLS
5016.KL,KLS
3379.KL,KLS
9466@BN.KL,KLS
7471.KL,KLS
7498.KL,KLS
BX.TO,TOR
BLGO,PNK
BICX,PNK
BICB,PNK
SHBCLQ.BO,BSE
CYX.V,VAN
CLYXF,PNK
CHIO,PNK
BSPR,PNK
BSOI,PNK
BMSPF,PNK
BLLAY,PNK
BITKF,PNK
BIRLACOT.BO,BSE
BIOCON.NS,NSI
BICEF,PNK
TRINITY.BO,BSE
TRABI.BO,BSE
TNBI,PNK
THXBY,PNK
TASTYBIT.BO,BSE
STERLINBIO.BO,BSE
SRBCF,PNK
SGBI,PNK
SHARONBIO.BO,BSE
SGB.V,VAN
STERLINBI.NS,
SBM.V,VAN
SAAMYABIO.BO,BSE
RPBIF,OBB
REDIF,PNK
RDHL.TA,TLV
PRRUF,PNK
PQX1.F,FRA
PANACEABIO.BO,BSE
MNTM,PNK
MICB,PNK
MBXBF,PNK
MBI.V,VAN
MBGNF,PNK
L46.SI,SES
IMMG,PNK
HINDBIO.BO,BSE
HBPCF,PNK
HBP.TO,TOR
HBOI,PNK
HBMBF,PNK
GUFICBIO.BO,BSE
GPLB,PNK
GALEW,PNK
EYW.MU,MUN
EPCBF,PNK
DIM.PA,PAR
CLTH,PNK
CGWB,PNK
CFBFF,PNK
CELESTIAL.NS,NSI
CDURQ,PNK
CDBT,PNK
CDBH,PNK
CBICF,PNK
CBI.TA,TLV
CBBT,PNK
BTM-H.V,VAN
BSYI,PNK
BSS.MI,MIL
BSNRF,PNK
BSEM,PNK
BSEG,PNK
BRTXD,PNK
BRTX,PNK
BQE.V,VAN
BNOEF,PNK
BMSR.JK,JKT
BMKDF,PNK
BMBRF,PNK
BLLAF,PNK
BLAB,PNK
BITTF,PNK
BISI.JK,JKT
BIRMT.BO,BSE
BIP-UN.TO,TOR
BIP-PA.TO,TOR
BIOZF,PNK
BIOQ,PNK
BIOPAC.BO,BSE
BIOM.L,LSE
BIOA-WT,
BIO.V,VAN
BIO.MU,MUN
BINV-TR.ST,
BINHF,PNK
BINCK.AS,AMS
BIMO,PNK
BIM.PA,PAR
BILN.L,LSE
BIJ.DE,GER
BIGC.BK,SET
BIG.PA,PAR
BICEY,PNK
BIBLF,PNK
BIAD,PNK
B8F.BE,BER
B1T.BE,BER
6236.TWO,TWO
56S.BE,
4B3.F,FRA
4B3.DU,DUS
4726.TWO,TWO
4114.TWO,TWO
4107.TWO,TWO
1784.TWO,TWO
0CB.F,FRA
BIIAF,PNK
TFHD.MU,MUN
IDP.BE,BER
BIT.AX,ASX
BIG-R.BK,SET
0N0.SG,STU
MM6.F,FRA
BSLFEFS4DN.BO,BSE
1HB.F,FRA
4183.TWO,TWO
1786.TW,TAI
BLUEBIRD.BO,BSE
BISIL.BO,BSE
SBH.HM,HAM
CEPR.DU,DUS
2RH.SG,STU
BIR-PA.TO,TOR
BNF.BE,BER
8NE1.MU,MUN
BMXMF,PNK
HEB.SW,EBS
3T2.F,FRA
6826-OL.HK,
PANACEABI.NS,
BIE.MI,MIL
BI2.F,FRA
BM8.SG,STU
BISND,PNK
BUX.CN,CNQ
BILCARE6.BO,BSE
BO1.F,FRA
ETBI,PNK
INDBF.BO,BSE
BTH.BE,BER
03C.BE,BER
BTHCF,PNK
5HB.F,FRA
B00.SG,
BTH.CN,CNQ
HLBYL,PNK
BILENERGY.BO,BSE
7CB1.SG,STU
INDRANIB.BO,BSE
BIF.MU,MUN
0O0E.L,LSE
GENOMICS.BO,BSE
BILENERGY-EQ.NS,NSI
BIL.NZ,NZE
208710.KQ,KOE
OXGBF.SW,EBS
TMS1.MU,MUN
PHG.CN,
KARO-TR.ST,STO
BNOEY,PNK
TITANBIO.BO,BSE
B4S.F,FRA
EZB.BE,BER
BIRM-L.TA,TLV
BT3.BE,BER
BSLFEFS5DN.BO,BSE
PBCB.BE,BER
HPCBL.BO,BSE
OBC.F,FRA
GBI.F,FRA
SZHNF,PNK
PCIB-T.OL,OSL
BIX.BE,BER
4127.TWO,TWO
2LB.F,FRA
HGBB.SG,STU
NAVB.TA,TLV
BIA.MI,MIL
IDP.MU,MUN
BI2.SG,STU
8255-OL.HK,
BIIB-U.TI,TLO
PDL.BE,BER
EBM.V,VAN
BICB4L.SA,
BIOM,PNK
RBQP.DU,DUS
GALPW,PNK
KYX.F,FRA
8247-OL.HK,
ELN.F,FRA
B5G2.F,FRA
SVS.V,VAN
ETG.DU,DUS
BO1.MU,MUN
HBI.F,FRA
R2:BMKS3S.SA,
GBF.DU,DUS
ELN.BE,BER
BICB11L.SA,
BIHRFOC.BO,BSE
BSLFEFS1RG.BO,BSE
SOCRUSBIO.BO,BSE
IBP.F,FRA
BICB4F.SA,
32B.BE,BER
SBS.MU,MUN
ETG.F,FRA
GBF.SW,EBS
BJX1.BE,BER
P09.BE,BER
BIIB.SW,EBS
BISI.L,LSE
2CB.F,FRA
LBL.V,VAN
B20.SI,SES
RXB.L,LSE
BO1.BE,BER
R2:BIOM3S.SA,
8189-OL.HK,
DWTPD,
BR1.F,FRA
BIRLATR.BO,BSE
PJUF.BE,
BLA.CN,CNQ
BINNY.BO,BSE
BLGTY,PNK
MEDICAMEQ.BO,BSE
4154.TWO,TWO
BTI.DE,GER
BIO.HA,HAN
GBY.SG,STU
FACE.MC,MCE
HGBB.BE,
BIRLAPAC.BO,BSE
4181.TWO,TWO
BM8.F,FRA
EB51.F,FRA
GBGH,PNK
SMZ1.F,FRA
4155.TWO,TWO
587.SI,SES
EBFL.BO,BSE
BIMUF,PNK
STERLINBIO6.BO,
BIJ.MU,MUN
GBY.BE,BER
FRHN.SG,STU
42C.SI,SES
4911.TWO,TWO
BIS.CN,CNQ
CEPR.MU,MUN
GBY.F,FRA
SSN.F,FRA
BLNEF,PNK
217730.KQ,KOE
PANACEABBPH.BO,BSE
THC.CN,CNQ
DGATE.IS,IST
BIOCON6.BO,
1112-OL.HK,
BSLFEFS5RG.BO,BSE
HGBB.F,FRA
BLE.F,FRA
7CB.F,
BIOCON4.BO,
BTH.SG,STU
CEPR.BE,BER
72C1.F,FRA
530005.KS,KSC
